N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"77,000",400,+0.52%,100,"4,596,733","5,969,783",51.85,"12,500,473",16.21,9.99,
2,SK하이닉스,"107,500",0,0.00%,"5,000","782,603","728,002",46.77,"2,797,024",13.45,9.53,
3,NAVER,"400,500","2,000",-0.50%,100,"657,875","164,263",56.65,"706,020",3.99,15.22,
4,삼성바이오로직스,"936,000","23,000",+2.52%,"2,500","619,304","66,165",10.55,"76,490",184.98,N/A,
5,삼성전자우,"71,800",400,+0.56%,100,"590,833","822,887",75.27,"821,303",15.12,N/A,
6,카카오,"122,500","1,500",-1.21%,100,"545,115","444,992",30.64,"9,028,112",114.17,2.70,
7,삼성SDI,"750,000","5,000",-0.66%,"5,000","515,734","68,765",44.87,"120,375",55.57,4.54,
8,LG화학,"718,000","16,000",-2.18%,"5,000","506,853","70,592",46.32,"449,681",19.34,2.93,
9,현대차,"209,500",500,+0.24%,"5,000","447,635","213,668",28.57,"471,554",15.18,2.04,
10,셀트리온,"272,500","9,500",+3.61%,"1,000","375,872","137,935",20.63,"570,117",63.89,16.68,
11,기아,"83,300",100,-0.12%,"5,000","337,668","405,363",34.40,"1,119,055",9.72,5.05,
12,카카오뱅크,"69,000",700,-1.00%,"5,000","327,819","475,100",5.23,"5,036,295",223.30,5.08,
13,POSCO,"361,500","5,000",-1.36%,"5,000","315,180","87,187",55.14,"449,945",8.17,3.61,
14,현대모비스,"269,000",500,-0.19%,"5,000","254,993","94,793",35.33,"171,373",11.54,4.66,
15,삼성물산,"130,000",0,0.00%,100,"242,953","186,887",15.08,"186,141",14.83,3.81,
16,크래프톤,"493,500","15,500",+3.24%,100,"241,575","48,951",5.43,"341,559",42.49,61.86,
17,LG전자,"142,000",500,-0.35%,"5,000","232,380","163,648",30.81,"757,334",17.18,13.23,
18,SK이노베이션,"248,000","8,000",-3.12%,"5,000","229,315","92,466",23.38,"769,269",-51.38,-13.58,
19,KB금융,"52,700",400,+0.76%,"5,000","219,131","415,808",67.47,"1,093,745",5.20,8.53,
20,SK텔레콤,"303,000",500,-0.16%,500,"218,342","72,060",44.47,"173,523",11.50,6.44,
21,LG생활건강,"1,393,000","7,000",+0.51%,"5,000","217,561","15,618",45.15,"44,297",29.25,17.92,
22,SK바이오사이언스,"280,000","3,500",+1.27%,500,"214,200","76,500",4.97,"824,744",136.39,13.25,
23,신한지주,"38,850",300,-0.77%,"5,000","200,699","516,600",60.30,"1,022,216",5.03,8.20,
24,SK,"276,000","7,500",+2.79%,200,"194,194","70,360",19.38,"481,152",17.81,1.11,
25,SK아이이테크놀로지,"233,000","5,500",+2.42%,"1,000","166,123","71,298",9.42,"415,368",153.19,11.00,
26,HMM,"38,400",50,+0.13%,"5,000","155,671","405,392",9.61,"2,020,277",24.32,8.93,
27,한국전력,"24,000",200,+0.84%,"5,000","154,071","641,964",14.97,"2,180,339",12.92,2.91,
28,LG,"95,700",900,-0.93%,"5,000","150,537","157,301",33.44,"194,689",6.00,7.50,
29,삼성생명,"74,100",900,-1.20%,500,"148,200","200,000",13.06,"174,690",8.46,3.53,
30,삼성전기,"184,000","3,000",-1.60%,"5,000","137,436","74,694",32.95,"272,250",16.04,10.92,
31,하나금융지주,"45,100",50,-0.11%,"5,000","135,409","300,242",68.17,"981,420",4.45,8.96,
32,삼성에스디에스,"169,500","1,500",+0.89%,500,"131,155","77,378",11.63,"73,028",20.36,6.71,
33,엔씨소프트,"596,000","3,000",-0.50%,500,"130,846","21,954",46.38,"151,818",31.99,20.83,
34,포스코케미칼,"161,500","7,000",+4.53%,500,"125,103","77,463",7.89,"931,645",116.69,2.96,
35,S-Oil,"101,000",500,+0.50%,"2,500","113,709","112,583",78.05,"235,844",12.99,-13.07,
36,대한항공,"32,550",100,+0.31%,"5,000","113,216","347,821",11.94,"2,773,009",16.94,-7.22,
37,아모레퍼시픽,"192,000",500,+0.26%,500,"112,240","58,458",32.28,"340,866",89.10,0.78,
38,KT&G,"81,400",0,0.00%,"5,000","111,756","137,292",37.16,"241,692",10.09,13.22,
39,삼성화재,"232,000","1,500",-0.64%,500,"109,910","47,375",48.83,"96,695",10.99,4.96,
40,하이브,"279,500","4,000",-1.41%,500,"109,147","39,051",16.73,"134,580",99.43,12.52,
41,두산중공업,"21,050",50,+0.24%,"5,000","108,619","516,006",9.62,"4,213,736",-50.00,-37.20,
42,넷마블,"124,000",0,0.00%,100,"106,582","85,954",22.62,"98,134",37.25,6.35,
43,고려아연,"519,000","2,000",-0.38%,"5,000","97,935","18,870",19.93,"37,889",13.54,8.37,
44,SK바이오팜,"113,000","2,000",-1.74%,500,"88,494","78,313",6.58,"194,307",-149.47,-135.18,
45,롯데케미칼,"254,000","2,000",-0.78%,"5,000","87,060","34,275",26.45,"97,799",7.28,1.22,
46,한온시스템,"16,150",50,+0.31%,100,"86,209","533,800",18.09,"409,818",29.63,5.09,
47,KT,"32,550",100,-0.31%,"5,000","84,992","261,112",44.14,"560,294",9.29,4.76,
48,한국조선해양,"117,500","1,000",-0.84%,"5,000","83,158","70,773",18.66,"232,315",-5.37,-7.42,
49,한화솔루션,"42,550",150,-0.35%,"5,000","81,389","191,278",17.57,"993,773",10.55,5.30,
50,우리금융지주,"11,000",100,-0.90%,"5,000","80,087","728,061",28.37,"2,021,625",3.84,5.87,
51,기업은행,"10,250",0,0.00%,"5,000","76,291","744,301",12.96,"1,031,546",4.30,6.44,
52,LG디스플레이,"20,250",100,-0.49%,"5,000","72,458","357,816",16.80,"1,613,420",6.09,-0.79,
53,현대제철,"52,000","1,100",-2.07%,"5,000","69,392","133,446",21.36,"845,781",28.73,-2.59,
54,현대글로비스,"179,500","2,000",-1.10%,500,"67,312","37,500",34.69,"95,143",9.98,12.45,
55,SKC,"176,500","1,000",-0.56%,"5,000","66,838","37,868",13.39,"315,236",153.48,2.21,
56,CJ제일제당,"435,000","6,000",-1.36%,"5,000","65,486","15,054",24.50,"43,445",15.16,13.50,
57,LG유플러스,"14,650",50,+0.34%,"5,000","63,964","436,611",33.42,"531,031",11.05,6.46,
58,금호석유,"201,500","2,500",+1.26%,"5,000","61,392","30,468",20.43,"161,181",4.77,20.18,
59,현대건설,"54,600",700,+1.30%,"5,000","60,800","111,356",21.24,"748,450",49.28,1.84,
60,강원랜드,"28,200",100,+0.36%,500,"60,331","213,940",19.52,"827,075",-64.09,-7.92,
61,코웨이,"79,600","1,200",+1.53%,500,"58,744","73,800",59.91,"128,750",13.79,31.51,
62,F&F,"739,000","4,000",+0.54%,500,"56,618","7,661",11.30,"39,563",N/A,N/A,
63,한국타이어앤테크놀로지,"44,900",200,-0.44%,500,"55,620","123,875",41.75,"167,900",9.01,5.12,
64,미래에셋증권,"8,730",10,-0.11%,"5,000","55,463","635,316",13.99,"812,182",6.63,8.94,
65,현대중공업지주,"68,600",200,+0.29%,"1,000","54,189","78,993",17.70,"189,496",-15.84,-8.12,
